Rank,Overall Acc,Model,Model Link,Total Cost ($),Latency Mean (s),Latency Standard Deviation (s),Latency 95th Percentile (s),Non-Live AST Acc,Non-Live Simple AST,Non-Live Multiple AST,Non-Live Parallel AST,Non-Live Parallel Multiple AST,Live Acc,Live Simple AST,Live Multiple AST,Live Parallel AST,Live Parallel Multiple AST,Multi Turn Acc,Multi Turn Base,Multi Turn Miss Func,Multi Turn Miss Param,Multi Turn Long Context,Relevance Detection,Irrelevance Detection,Organization,License
1,69.80%,Qwen3-32B (Prompt),https://together.com/index/Qwen3-32B/,193.15,39.38,85.0,122.65,89.25%,77.50%,96.00%,91.50%,92.00%,81.08%,87.98%,81.67%,87.50%,75.00%,39.75%,49.00%,42.50%,30.50%,37.00%,72.22%,82.20%,Together,Proprietary
2,68.20%,Qwen3-235B-A22B-Instruct-2507-FP8 (Prompt),https://together.com/index/Qwen3-235B-A22B-Instruct-2507-FP8/,N/A,N/A,N/A,N/A,90.35%,80.42%,96.50%,93.50%,91.00%,76.99%,86.43%,81.29%,81.25%,79.17%,37.25%,49.50%,31.50%,25.50%,42.50%,88.89%,79.56%,Together,Proprietary
3,66.62%,Kimi-K2-Instruct (Prompt),https://together.com/index/Kimi-K2-Instruct/,N/A,N/A,N/A,N/A,76.75%,78.50%,87.50%,60.00%,81.00%,78.45%,86.82%,81.20%,87.50%,58.33%,40.75%,48.00%,45.00%,33.00%,37.00%,72.22%,84.75%,Together,Proprietary
4,61.17%,Qwen3-235B-A22B-Thinking-2507-FP8 (Prompt),https://together.com/index/Qwen3-235B-A22B-Thinking-2507-FP8/,N/A,N/A,N/A,N/A,83.90%,60.58%,95.50%,91.50%,88.00%,80.90%,86.05%,79.39%,100.00%,79.17%,18.00%,20.50%,20.50%,16.00%,15.00%,72.22%,84.28%,Together,Proprietary
5,60.99%,Claude 4 Sonnet (Thinking On 10k),https://www.anthropic.com/index/claude-4-sonnet-thinking-on-10k/,N/A,N/A,N/A,N/A,84.17%,71.17%,92.00%,88.00%,85.50%,82.54%,84.88%,78.63%,87.50%,66.67%,15.25%,21.00%,7.00%,16.50%,16.50%,61.11%,88.23%,Anthropic,Proprietary
6,60.04%,DeepSeek-V3-0324 (Prompt),https://deepseek.com/index/DeepSeek-V3-0324/,N/A,N/A,N/A,N/A,75.00%,77.50%,91.50%,65.50%,65.50%,74.19%,86.05%,75.12%,93.75%,70.83%,29.50%,38.50%,26.50%,22.00%,31.00%,83.33%,75.62%,DeepSeek,Proprietary
7,55.10%,DeepSeek-R1-0528 (Prompt),https://deepseek.com/index/DeepSeek-R1-0528/,N/A,N/A,N/A,N/A,85.44%,71.25%,94.50%,90.50%,85.50%,79.52%,82.95%,78.54%,87.50%,79.17%,0.00%,0.00%,0.00%,0.00%,0.00%,77.78%,83.34%,DeepSeek,Proprietary
8,52.24%,Claude 4 Sonnet (Thinking Off),https://www.anthropic.com/index/claude-4-sonnet-thinking-off/,N/A,N/A,N/A,N/A,70.75%,72.00%,89.50%,55.00%,66.50%,79.65%,83.72%,68.76%,87.50%,54.17%,1.62%,2.00%,0.50%,2.50%,1.50%,50.00%,93.40%,Anthropic,Proprietary
9,21.11%,Qwen3-8B (Prompt),https://together.com/index/Qwen3-8B/,N/A,N/A,N/A,N/A,5.17%,20.67%,0.00%,0.00%,0.00%,39.18%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,Together,Proprietary
10,19.73%,Qwen3-235B-A22B-FP8 (Prompt),https://together.com/index/Qwen3-235B-A22B-FP8/,N/A,N/A,N/A,N/A,0.00%,0.00%,0.00%,0.00%,0.00%,39.18%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,Together,Proprietary